uuid,settings,start,duration,packets,poi_critical_fraction,matches,avg_distance,bandwidth_per_sec,stego_bandwidth,comment
a7c423b5-04ff-4f14-b286-e072616b4f4d,"1 chars, trivial, mode: cs",1745649572,2.994723082,102,0,1,102,2.671365526,0.078431373,test
901e22ff-428d-474a-a80a-b6cf2d501c64,"1 chars, trivial, mode: cs",1745649591,82677.90455,25980,0,31,838.0645161,0.002999592,0.009545804,night
1dbd4910-4edc-42ac-8747-f36a3d61ea03,"1 chars, trivial, mode: cs",1745733047,47961.50828,15702,0,19,826.4210526,0.003169208,0.009680296,day
f3e06c2e-7a73-40b5-9543-a22405d8ecaa,"1 chars, trivial, mode: cs",1745789892,27279.28617,6444,0,9,716,0.002639365,0.011173184,night
6e551502-f01a-474f-86c9-4bad17853f05,"1 chars, trivial, mode: cs",1745818054,85109.80405,24812,0,38,652.9473684,0.003571856,0.012252136,day
a430e62e-a4b2-42a4-aa7a-6f0dbc683ef8,"1 chars, trivial, mode: cs",1745904009,3610.333692,1086,0,3,362,0.006647585,0.022099448,day
4a1fdadf-7f56-47a0-898a-f26460f1931a,"1 chars, trivial, mode: cs",1745958604,36826.74976,15387,0,24,641.125,0.005213602,0.012478066,night
29ea9151-c001-4680-bce9-ea682b234601,"1 chars, trivial, mode: cs",1746046077,34652.90318,9644,0,18,535.7777778,0.004155496,0.014931564,night
2ddfa84e-d0b2-431d-9038-d0c26382d813,"1 chars, trivial, mode: cs",1746082954,39225.54794,14067,0,27,521,0.005506615,0.015355086,day
6cc62077-61de-4f06-98db-38693f983f87,"1 chars, trivial, mode: cs",1746135479,31071.50779,9669,0,17,568.7647059,0.004377,0.01406557,night
d95c7fe0-94b8-48a3-a797-6ccb3c1b4734,"1 chars, trivial, mode: cs",1746596966,46567.47563,10545,0,12,878.75,0.002061525,0.009103841,day
1d146003-dcc3-4f70-98ea-f48d896d7928,"1 chars, trivial, mode: cs",1746944930,18373.71518,549795,0,1940,283.3994845,0.844684912,0.028228703,high-volume
a8a8023f-cdb8-484e-b0dc-f07d1603da8b,"1 chars, trivial, mode: cs",1746963321,22520.5764,725816,0,2442,297.2219492,0.867473357,0.026915913,high-volume
6abfe587-e2a2-4a59-9944-28e57092f03a,"1 chars, trivial, mode: cs",1746985939,6810.636433,218321,0,775,281.7045161,0.910340768,0.028398551,high-volume
9ffd01e2-d13f-4d74-983f-e7de2b213869,"1 chars, trivial, mode: cs",1747063854,3905.685256,126036,0,414,304.4347826,0.847994598,0.026278206,high-volume
78c4b329-6da6-4f5e-97d0-54075bde1d25,"1 chars, trivial, mode: cs",1747467026,23999.31421,721743,0,2467,292.5589785,0.822356832,0.027344914,high-volume
c3f1ddf0-6423-423d-b07b-536fa0ca80f9,"1 chars, trivial, mode: cs",1747596999,32852.4191,12251,0,17,720.6470588,0.004139726,0.011101135,day
51871618-2242-474e-a54a-9bd1cdc72224,"1 chars, trivial, mode: cs",1747857803,85052.47627,23463,0,34,690.0882353,0.003198026,0.01159272,night
4aa8ff71-344c-4039-ac5f-02e2cada5a8c,"1 chars, trivial, mode: cs",1747945536,36880.51473,7798,0,14,557,0.003036834,0.014362657,night
256a7eeb-9083-4cdc-b1ec-f12d1da082c2,"1 chars, trivial, mode: cs",1747983610,37664.57744,14157,0,21,674.1428571,0.004460424,0.011866921,day
0bfa4bca-fdd1-4c0d-92ce-93a227da32fd,"1 chars, trivial, mode: cs",1748026810,31533.2959,8912,0,17,524.2352941,0.004312902,0.015260323,night
0ff5c889-e8fe-499a-aa05-69e6ea5b60f4,"1 chars, trivial, mode: cs",1748113210,41381.79363,9342,0,19,491.6842105,0.003673113,0.016270606,
a88b3a79-4ff9-4d00-9478-1da7837c909f,"1 chars, trivial, mode: cs",1748156410,41276.88593,17402,0,25,696.08,0.004845327,0.011492932,
d8b75170-4978-41b9-a436-bca793dba989,"1 chars, trivial, mode: cs",1748199610,42975.34361,10842,0,14,774.4285714,0.002606146,0.010330197,
08cc72db-59b7-492f-a7d0-b606ff989507,"1 chars, trivial, mode: cs",1748242810,43140.9472,13189,0,20,659.45,0.003708773,0.012131322,
6f6d17f7-69b3-4e66-ba42-fbce4c671192,"1 chars, trivial, mode: cs",1748286010,42010.83185,11694,0,15,779.6,0.002856406,0.010261673,
4f2a0120-d1d7-4364-995c-e1046931d1eb,"1 chars, trivial, mode: cs",1748329210,43004.02054,15477,0,14,1105.5,0.002604408,0.007236545,
6a27df2f-0c5d-4777-bf9a-90ead5fbf837,"1 chars, trivial, mode: cs",1748372411,42659.75847,10872,0,16,679.5,0.003000486,0.011773363,
7c9340c7-74ce-4e48-8087-1ef2a8095070,"1 chars, trivial, mode: cs",1748415610,37694.44299,8015,0,12,667.9166667,0.002546794,0.011977542,
f9e7780b-9d93-455e-8b49-8b05c2fa385e,"1 chars, trivial, mode: cs",1748458810,39366.01495,9734,0,14,695.2857143,0.002845094,0.011506061,
6cb89662-7171-43af-88ce-3cee340e466d,"1 chars, trivial, mode: cs",1748624646,13295.83704,431835,0,1542,280.0486381,0.927809205,0.028566466,
98d5dc24-416c-49e9-84da-9c5b8b56a7a6,"1 chars, trivial, mode: cs",1748637985,32554.93373,1044524,0,3608,289.5022173,0.886624444,0.02763364,
96e4d67d-494d-4002-97c7-e122f762f0b4,"1 chars, trivial, mode: cs",1748670554,19985.30392,631582,0,2214,285.2673893,0.886251221,0.028043864,
63a8b081-4b89-4e19-a13f-fb213725f7ca,"1 chars, trivial, mode: cs",1748700411,2261.62599,71634,0,265,270.3169811,0.937378686,0.029594885,
23d7b0f0-3340-44b7-b259-80c2fe0b4606,"1 chars, trivial, mode: cs",1748707199,11208.97548,342613,0,1213,282.4509481,0.865734787,0.028323502,
ed2c54fd-1bdc-453c-a39e-55940fbfa3c3,"1 chars, trivial, mode: cs",1750057210.5228462,42999.67002296448,8970,0,19,472.10526315789474,0.00353491084742796,0.0169453734671126,
f53a3b00-e96b-4290-bc78-786700772e8b,"1 chars, trivial, mode: cs",1750100409.7460926,42331.98691654205,8046,0,14,574.7142857142857,0.002645753439847016,0.01391996022868506,
8f600704-87b4-4654-9caa-be5ee0561d50,"1 chars, trivial, mode: cs",1750143610.0112388,41941.83774280548,10924,0,18,606.8888888888889,0.0034333259520727875,0.013181984621017943,
2f97cc34-c9dc-4ee6-bbac-121597b019f0,"1 chars, trivial, mode: cs",1750186810.2902257,39578.62678313255,11656,0,29,401.9310344827586,0.005861749607211556,0.01990391214824983,
e0714832-e27d-4b65-bc81-167a3a1ef6ff,"1 chars, trivial, mode: cs",1750230010.451038,42274.19397306442,9581,0,14,684.3571428571429,0.0026493704426715343,0.011689802734578853,
