date,poi,inputsource,bitlength,rounding_factor,subchanneling,subchanneling_bits,ecc,multihashing,counter_total_packets_received,counter_poi_ignored_because_silence,counter_poi_valid_received,counter_matches,counter_data_bits_transmitted,mps,bps,counter_retries_received,script_start_time,duration,comment
2025-03-03T11:21:02.547357,broadcast_bpf,ISD,2,1,none,0,none,1,2522,0,2291,198,298,6.513100205,9.802544752,49,1740997232,30.40026927,Version 3.2
2025-03-03T11:21:16.595572,broadcast_bpf,ISD,2,1,none,0,none,2,700,0,541,166,298,20.79975351,37.33931653,17,1740997269,7.98086381,Version 3.2
2025-03-03T11:21:24.631354,broadcast_bpf,ISD,2,1,none,0,none,8,279,0,149,149,298,74.94181915,149.8836383,0,1740997283,1.988209009,Version 3.2
2025-03-03T11:21:41.620386,broadcast_bpf,ISPN,2,1,none,0,none,1,705,0,543,194,298,17.78483469,27.31897288,45,1740997291,10.90816998,Version 3.2
2025-03-03T11:21:52.623264,broadcast_bpf,ISPN,2,1,none,0,none,2,298,0,200,172,298,34.66636118,60.06148623,23,1740997308,4.961582184,Version 3.2
2025-03-03T11:22:02.928727,broadcast_bpf,ISPN,2,1,none,0,none,8,256,0,169,169,298,39.44659567,69.55671899,20,1740997319,4.284273386,Version 3.2
2025-03-03T11:22:17.968228,broadcast_bpf,ISD,2,2,none,0,none,1,514,0,376,193,298,21.44150842,33.10657777,44,1740997329,9.001232386,Version 3.2
2025-03-03T11:22:31.288532,broadcast_bpf,ISD,2,2,none,0,none,2,401,0,281,186,298,25.55858107,40.9486944,37,1740997344,7.277399302,Version 3.2
2025-03-03T11:22:42.615217,broadcast_bpf,ISD,2,2,none,0,none,8,267,0,178,178,298,33.54724158,56.1633595,29,1740997357,5.305950403,Version 3.2
2025-03-03T11:22:57.527656,broadcast_bpf,ISPN,2,2,none,0,none,1,603,0,464,183,298,20.62714918,33.58956533,34,1740997369,8.871802807,Version 3.2
2025-03-03T11:23:08.505986,broadcast_bpf,ISPN,2,2,none,0,none,2,294,0,201,172,298,34.66006719,60.05058152,23,1740997384,4.962483168,Version 3.2
2025-03-03T11:23:18.326298,broadcast_bpf,ISPN,2,2,none,0,none,8,246,0,165,165,298,43.2644382,78.13819748,16,1740997395,3.813755751,Version 3.2
2025-03-03T11:24:57.188101,broadcast_bpf,ISD,3,1,none,0,none,1,7846,0,7529,212,300,2.2837117,3.2316675,112,1740997404,92.83133245,Version 3.2
2025-03-03T11:25:51.855676,broadcast_bpf,ISD,3,1,none,0,none,2,3928,0,3696,172,300,3.537508478,6.170072927,72,1740997503,48.6217916,Version 3.2
2025-03-03T11:25:59.258355,broadcast_bpf,ISD,3,1,none,0,none,8,189,0,100,100,300,73.97505066,221.925152,0,1740997558,1.351807117,Version 3.2
2025-03-03T11:26:22.584609,broadcast_bpf,ISPN,3,1,none,0,none,1,1079,0,909,167,300,9.667316184,17.36643626,67,1740997565,17.27470136,Version 3.2
2025-03-03T11:26:35.462839,broadcast_bpf,ISPN,3,1,none,0,none,2,381,0,283,134,300,19.57929138,43.83423444,34,1740997589,6.843965769,Version 3.2
2025-03-03T11:26:44.530729,broadcast_bpf,ISPN,3,1,none,0,none,8,187,0,115,115,300,37.70066896,98.3495712,15,1740997601,3.050343752,Version 3.2
2025-03-03T11:27:04.877968,broadcast_bpf,ISD,3,2,none,0,none,1,882,0,728,160,300,11.20711956,21.01334917,60,1740997611,14.27663898,Version 3.2
2025-03-03T11:27:18.987382,broadcast_bpf,ISD,3,2,none,0,none,2,479,0,379,136,300,16.84345686,37.15468424,36,1740997631,8.074352026,Version 3.2
2025-03-03T11:27:29.319837,broadcast_bpf,ISD,3,2,none,0,none,8,199,0,126,126,300,29.26123478,69.66960662,26,1740997645,4.30603838,Version 3.2
2025-03-03T11:27:54.647146,broadcast_bpf,ISPN,3,2,none,0,none,1,1215,0,1031,178,300,9.221307733,15.54152989,78,1740997655,19.30311894,Version 3.2
2025-03-03T11:28:05.627304,broadcast_bpf,ISPN,3,2,none,0,none,2,332,0,241,120,300,24.22278379,60.55695948,20,1740997681,4.954013586,Version 3.2
2025-03-03T11:28:14.812178,broadcast_bpf,ISPN,3,2,none,0,none,8,176,0,116,116,300,36.90749581,95.4504202,16,1740997692,3.142992973,Version 3.2
2025-03-03T11:40:24.895446,broadcast_bpf,ISD,8,1,none,0,none,8,274,0,220,50,304,12.68560195,77.12845984,12,1740998421,3.941476345,Version 3.2
