parameters,FITNESS,bps,mps,caf,sbw,avgdistance_all,avgdistance_poi,watchdog_hitrate,count_packets_rec,count_poi_rec,count_cc_rec,count_cc_ignored_in_silence,count_cc_pointer_rec,count_data_ignored_in_silence,count_data_ignored_in_timeoput,count_data_ecc_matches,count_watchdog_ecc_matches,secret_bits_count,timestamp_start,timestamp_stop,duration_seconds,source_ip,comment
broadcast_bpf:ISD:8b:2r:7m:none,261.2488,261.2488,32.6561,1.142857143,1.343195266,5.955947137,5.955947137,1,1352,1352,229,0,227,7,0,227,227,1816,1743148558,3/28/2025 8:56,6.951229095,127.0.0.1,Version 3.3
broadcast_bpf:ISD:8b:2r:7m:none,248.8554,248.8554,31.1069,1.142857143,1.353293413,5.911504425,5.911504425,1,1336,1336,229,1,226,6,0,226,226,1808,1743148571,3/28/2025 8:56,7.265264034,127.0.0.1,Version 3.3
broadcast_bpf:ISD:8b:2r:7m:none,257.3053,257.3053,32.1632,1.142857143,1.374716124,5.81938326,5.81938326,1,1321,1321,229,0,227,6,0,227,227,1816,1743148585,3/28/2025 8:56,7.057765007,127.0.0.1,Version 3.3
broadcast_bpf:ISD:8b:2r:7m:none,235.4530722,236.4949,29.5619,1.142857143,1.320727273,6.057268722,6.057268722,0.995594714,1375,1375,229,0,227,7,0,227,226,1808,1743148598,3/28/2025 8:56,7.644984961,127.0.0.1,Version 3.3
broadcast_bpf:ISD:8b:2r:7m:none,251.8734159,252.9879,31.6235,1.142857143,1.36746988,5.850220264,5.850220264,0.995594714,1328,1328,229,0,227,18,0,227,226,1808,1743148612,3/28/2025 8:56,7.146585941,127.0.0.1,Version 3.3
broadcast_bpf:ISD:8b:2r:7m:none,254.1223,254.1223,31.7653,1.142857143,1.392638037,5.744493392,5.744493392,1,1304,1304,229,0,227,6,0,227,227,1816,1743148626,3/28/2025 8:57,7.146164179,127.0.0.1,Version 3.3
broadcast_bpf:ISD:8b:2r:7m:none,226.4053004,237.9352,29.7419,1.142857143,1.369532428,5.841409692,5.841409692,0.95154185,1326,1326,229,0,227,15,0,227,216,1728,1743148639,3/28/2025 8:57,7.262480974,127.0.0.1,Version 3.3
broadcast_bpf:ISD:8b:2r:7m:none,254.5301549,255.6614,31.9577,1.142857143,1.355322339,5.902654867,5.902654867,0.995575221,1334,1334,229,1,226,19,0,226,225,1800,1743148652,3/28/2025 8:57,7.040560961,127.0.0.1,Version 3.3
broadcast_bpf:ISD:8b:2r:7m:none,250.1502423,252.3738,31.5467,1.142857143,1.384146341,5.779735683,5.779735683,0.991189427,1312,1312,229,0,227,9,0,227,225,1800,1743148666,3/28/2025 8:57,7.132277966,127.0.0.1,Version 3.3
broadcast_bpf:ISD:8b:2r:7m:none,249.6947907,251.9143,31.4893,1.142857143,1.369532428,5.841409692,5.841409692,0.991189427,1326,1326,229,0,227,7,0,227,225,1800,1743148679,3/28/2025 8:58,7.145287037,127.0.0.1,Version 3.3
broadcast_bpf:ISD:8b:2r:7m:none,253.0744493,255.324,31.9155,1.142857143,1.404485692,5.696035242,5.696035242,0.991189427,1293,1293,229,0,227,6,0,227,225,1800,1743148692,3/28/2025 8:58,7.049867153,127.0.0.1,Version 3.3
broadcast_bpf:ISD:8b:2r:7m:none,245.1890185,248.4728,31.0591,1.142857143,1.345185185,5.947136564,5.947136564,0.986784141,1350,1350,229,0,227,15,0,227,224,1792,1743148706,3/28/2025 8:58,7.212055922,127.0.0.1,Version 3.3
broadcast_bpf:ISD:8b:2r:7m:none,261.1904,261.1904,32.6488,1.142857143,1.320727273,6.057268722,6.057268722,1,1375,1375,229,0,227,6,0,227,227,1816,1743148719,3/28/2025 8:58,6.952782869,127.0.0.1,Version 3.3
broadcast_bpf:ISD:8b:2r:7m:none,260.071993,263.5551,32.9444,1.142857143,1.324580598,6.039647577,6.039647577,0.986784141,1371,1371,229,0,227,15,0,227,224,1792,1743148732,3/28/2025 8:58,6.799337864,127.0.0.1,Version 3.3
broadcast_bpf:ISD:8b:2r:7m:none,263.8283181,264.9957,33.1245,1.142857143,1.359281437,5.885462555,5.885462555,0.995594714,1336,1336,229,0,227,5,0,227,226,1808,1743148745,3/28/2025 8:59,6.822751999,127.0.0.1,Version 3.3
broadcast_bpf:ISD:8b:2r:7m:none,242.5579559,245.8065,30.7258,1.142857143,1.32748538,6.026431718,6.026431718,0.986784141,1368,1368,229,0,227,8,0,227,224,1792,1743148758,3/28/2025 8:59,7.290286064,127.0.0.1,Version 3.3
broadcast_bpf:ISD:8b:2r:7m:none,261.8953733,265.4345,33.1793,1.142857143,1.341281669,5.964444444,5.964444444,0.986666667,1342,1342,229,2,225,11,0,225,222,1776,1743148772,3/28/2025 8:59,6.690915108,127.0.0.1,Version 3.3
broadcast_bpf:ISD:8b:2r:7m:none,253.2917,253.2917,31.6615,1.142857143,1.312138728,6.0969163,6.0969163,1,1384,1384,229,0,227,10,0,227,227,1816,1743148784,3/28/2025 8:59,7.169598103,127.0.0.1,Version 3.3
broadcast_bpf:ISD:8b:2r:7m:none,238.6557396,249.6537,31.2067,1.142857143,1.319767442,6.061674009,6.061674009,0.955947137,1376,1376,229,0,227,18,0,227,217,1736,1743148798,3/28/2025 9:00,6.95363307,127.0.0.1,Version 3.3
broadcast_bpf:ISD:8b:2r:7m:none,246.8288,246.8288,30.8536,1.142857143,1.285208776,6.224669604,6.224669604,1,1413,1413,229,0,227,18,0,227,227,1816,1743148811,3/28/2025 9:00,7.357326984,127.0.0.1,Version 3.3
broadcast_bpf:ISD:8b:2r:7m:none,261.8396,261.8396,32.7299,1.142857143,1.333333333,6,6,1,1362,1362,229,0,227,11,0,227,227,1816,1743148824,3/28/2025 9:00,6.935544014,127.0.0.1,Version 3.3
broadcast_bpf:ISD:8b:2r:7m:none,263.0550938,265.4038,33.1755,1.142857143,1.351270553,5.920353982,5.920353982,0.991150442,1338,1338,229,1,226,8,0,226,224,1792,1743148837,3/28/2025 9:00,6.75197506,127.0.0.1,Version 3.3
broadcast_bpf:ISD:8b:2r:7m:none,263.6343221,265.9882,33.2485,1.142857143,1.357357357,5.89380531,5.89380531,0.991150442,1332,1332,229,1,226,14,0,226,224,1792,1743148850,3/28/2025 9:00,6.737140894,127.0.0.1,Version 3.3
broadcast_bpf:ISD:8b:2r:7m:none,256.9951,256.9951,32.1244,1.142857143,1.296216988,6.171806167,6.171806167,1,1401,1401,229,0,227,12,0,227,227,1816,1743148863,3/28/2025 9:01,7.066283226,127.0.0.1,Version 3.3
broadcast_bpf:ISD:8b:1r:7m:none,122.0399004,122.5799,15.3225,1.142857143,0.884559182,9.044052863,9.044052863,0.995594714,2053,2053,229,0,227,19,0,227,226,1808,1743148884,3/28/2025 9:01,14.74956298,127.0.0.1,Version 3.3
broadcast_bpf:ISD:8b:1r:7m:none,121.6782009,122.2166,15.2771,1.142857143,0.874337987,9.149779736,9.149779736,0.995594714,2077,2077,229,0,227,42,0,227,226,1808,1743148905,3/28/2025 9:01,14.79340291,127.0.0.1,Version 3.3
broadcast_bpf:ISD:8b:1r:7m:none,122.7537,122.7537,15.3442,1.142857143,0.907546227,8.814977974,8.814977974,1,2001,2001,229,0,227,10,0,227,227,1816,1743148926,3/28/2025 9:02,14.79385614,127.0.0.1,Version 3.3
broadcast_bpf:ISD:8b:1r:7m:none,121.5813,121.5813,15.1977,1.142857143,1.010573178,7.916299559,7.916299559,1,1797,1797,229,0,227,8,0,227,227,1816,1743148947,3/28/2025 9:02,14.93651295,127.0.0.1,Version 3.3
broadcast_bpf:ISD:8b:1r:7m:none,122.586,122.586,15.3232,1.142857143,0.881091618,9.079646018,9.079646018,1,2052,2052,229,1,226,18,0,226,226,1808,1743148968,3/28/2025 9:03,14.74883509,127.0.0.1,Version 3.3
broadcast_bpf:ISD:8b:1r:7m:none,123.1144,123.1144,15.3893,1.142857143,0.899009901,8.898678414,8.898678414,1,2020,2020,229,0,227,14,0,227,227,1816,1743148989,3/28/2025 9:03,14.75050807,127.0.0.1,Version 3.3
broadcast_bpf:ISD:8b:1r:7m:none,121.0083648,121.5438,15.193,1.142857143,0.908908909,8.801762115,8.801762115,0.995594714,1998,1998,229,0,227,12,0,227,226,1808,1743149010,3/28/2025 9:03,14.87530017,127.0.0.1,Version 3.3
broadcast_bpf:ISD:8b:1r:7m:none,122.2882,122.2882,15.286,1.142857143,0.907092907,8.81938326,8.81938326,1,2002,2002,229,0,227,10,0,227,227,1816,1743149031,3/28/2025 9:04,14.85016513,127.0.0.1,Version 3.3
broadcast_bpf:ISD:8b:1r:7m:none,122.9833,122.9833,15.3729,1.142857143,0.900793651,8.881057269,8.881057269,1,2016,2016,229,0,227,12,0,227,227,1816,1743149052,3/28/2025 9:04,14.76623702,127.0.0.1,Version 3.3
broadcast_bpf:ISD:8b:1r:7m:none,123.1319,123.1319,15.3915,1.142857143,0.899900892,8.889867841,8.889867841,1,2018,2018,229,0,227,9,0,227,227,1816,1743149073,3/28/2025 9:04,14.74841309,127.0.0.1,Version 3.3
broadcast_bpf:ISD:8b:1r:7m:none,120.3389181,121.9506,15.2438,1.142857143,0.870565676,9.189427313,9.189427313,0.986784141,2086,2086,229,0,227,39,0,227,224,1792,1743149094,3/28/2025 9:05,14.69446993,127.0.0.1,Version 3.3
broadcast_bpf:ISD:8b:1r:7m:none,122.8313,122.8313,15.3539,1.142857143,0.908908909,8.801762115,8.801762115,1,1998,1998,229,0,227,9,0,227,227,1816,1743149115,3/28/2025 9:05,14.78450513,127.0.0.1,Version 3.3
broadcast_bpf:ISD:8b:1r:7m:none,122.603,122.603,15.3254,1.142857143,0.911646586,8.775330396,8.775330396,1,1992,1992,229,0,227,10,0,227,227,1816,1743149136,3/28/2025 9:05,14.81203985,127.0.0.1,Version 3.3
broadcast_bpf:ISD:8b:1r:7m:none,122.5571,122.5571,15.3196,1.142857143,0.932717001,8.577092511,8.577092511,1,1947,1947,229,0,227,9,0,227,227,1816,1743149157,3/28/2025 9:06,14.81758213,127.0.0.1,Version 3.3
broadcast_bpf:ISD:8b:1r:7m:none,122.8674,122.8674,15.3584,1.142857143,0.913940614,8.753303965,8.753303965,1,1987,1987,229,0,227,14,0,227,227,1816,1743149178,3/28/2025 9:06,14.78016305,127.0.0.1,Version 3.3
