bitlength,rounding,poi,inputsource,subchanneling,subchanneling_bits,ecc,multihashing,CAF,STEG BANDWIDTH,DISTANCE
2,2,all,IPD,none,0.0,none,0.0,2.0,,
2,2,all,IPD,none,0.0,hamming,0.0,2.0,,
2,2,all,IPD,none,0.0,hamming+,0.0,2.0,,
2,2,all,IPD,none,0.0,inline-hamming+,0.0,2.0,,
2,2,all,IPD,baseipd,2.0,none,0.0,2.0,,
2,2,all,IPD,baseipd,4.0,none,0.0,2.0,,
2,2,all,IPD,baseipd,8.0,none,0.0,2.0,,
2,2,all,IPD,baseipd,2.0,hamming,0.0,2.0,,
2,2,all,IPD,baseipd,4.0,hamming,0.0,2.0,,
2,2,all,IPD,baseipd,8.0,hamming,0.0,2.0,,
2,2,all,IPD,baseipd,2.0,hamming+,0.0,2.0,,
2,2,all,IPD,baseipd,4.0,hamming+,0.0,2.0,,
2,2,all,IPD,baseipd,8.0,hamming+,0.0,2.0,,
2,2,all,IPD,baseipd,2.0,inline-hamming+,0.0,2.0,,
2,2,all,IPD,baseipd,4.0,inline-hamming+,0.0,2.0,,
2,2,all,IPD,baseipd,8.0,inline-hamming+,0.0,2.0,,
2,2,all,IPD,iphash,2.0,none,0.0,2.0,,
2,2,all,IPD,iphash,4.0,none,0.0,2.0,,
2,2,all,IPD,iphash,8.0,none,0.0,2.0,,
2,2,all,IPD,iphash,2.0,hamming,0.0,2.0,,
2,2,all,IPD,iphash,4.0,hamming,0.0,2.0,,
2,2,all,IPD,iphash,8.0,hamming,0.0,2.0,,
2,2,all,IPD,iphash,2.0,hamming+,0.0,2.0,,
2,2,all,IPD,iphash,4.0,hamming+,0.0,2.0,,
2,2,all,IPD,iphash,8.0,hamming+,0.0,2.0,,
2,2,all,IPD,iphash,2.0,inline-hamming+,0.0,2.0,,
2,2,all,IPD,iphash,4.0,inline-hamming+,0.0,2.0,,
2,2,all,IPD,iphash,8.0,inline-hamming+,0.0,2.0,,
2,2,all,IPD,clockhash,2.0,none,0.0,2.0,,
2,2,all,IPD,clockhash,4.0,none,0.0,2.0,,
2,2,all,IPD,clockhash,8.0,none,0.0,2.0,,
2,2,all,IPD,clockhash,2.0,hamming,0.0,2.0,,
2,2,all,IPD,clockhash,4.0,hamming,0.0,2.0,,
2,2,all,IPD,clockhash,8.0,hamming,0.0,2.0,,
2,2,all,IPD,clockhash,2.0,hamming+,0.0,2.0,,
2,2,all,IPD,clockhash,4.0,hamming+,0.0,2.0,,
2,2,all,IPD,clockhash,8.0,hamming+,0.0,2.0,,
2,2,all,IPD,clockhash,2.0,inline-hamming+,0.0,2.0,,
2,2,all,IPD,clockhash,4.0,inline-hamming+,0.0,2.0,,
2,2,all,IPD,clockhash,8.0,inline-hamming+,0.0,2.0,,
2,2,all,ISD,none,0.0,none,0.0,2.0,,
2,2,all,ISD,none,0.0,hamming,0.0,2.0,,
2,2,all,ISD,none,0.0,hamming+,0.0,2.0,,
2,2,all,ISD,none,0.0,inline-hamming+,0.0,2.0,,
2,2,all,ICD,none,0.0,none,0.0,2.0,,
2,2,all,ICD,none,0.0,hamming,0.0,2.0,,
2,2,all,ICD,none,0.0,hamming+,0.0,2.0,,
2,2,all,ICD,none,0.0,inline-hamming+,0.0,2.0,,
2,2,all,ISPN,none,0.0,none,0.0,2.0,,
2,2,all,ISPN,none,0.0,hamming,0.0,2.0,,
2,2,all,ISPN,none,0.0,hamming+,0.0,2.0,,
2,2,all,ISPN,none,0.0,inline-hamming+,0.0,2.0,,
2,2,all,timestamp,none,0.0,none,0.0,2.0,,
2,2,all,timestamp,none,0.0,hamming,0.0,2.0,,
2,2,all,timestamp,none,0.0,hamming+,0.0,2.0,,
2,2,all,timestamp,none,0.0,inline-hamming+,0.0,2.0,,
2,2,broadcast_domain,IPD,none,0.0,none,0.0,2.0,,
2,2,broadcast_domain,IPD,none,0.0,hamming,0.0,2.0,0.0,2603.9
2,2,broadcast_domain,IPD,none,0.0,hamming+,0.0,2.0,0.0,585.57
2,2,broadcast_domain,IPD,none,0.0,inline-hamming+,0.0,2.0,0.01,197.55
2,2,broadcast_domain,IPD,baseipd,2.0,none,0.0,2.0,,
2,2,broadcast_domain,IPD,baseipd,4.0,none,0.0,2.0,0.01,194.11
2,2,broadcast_domain,IPD,baseipd,8.0,none,0.0,2.0,,
2,2,broadcast_domain,IPD,baseipd,2.0,hamming,0.0,2.0,0.0,1813.09
2,2,broadcast_domain,IPD,baseipd,4.0,hamming,0.0,2.0,0.0,1826.62
2,2,broadcast_domain,IPD,baseipd,8.0,hamming,0.0,2.0,0.0,1927.3
2,2,broadcast_domain,IPD,baseipd,2.0,hamming+,0.0,2.0,0.0,456.65
2,2,broadcast_domain,IPD,baseipd,4.0,hamming+,0.0,2.0,0.0,454.96
2,2,broadcast_domain,IPD,baseipd,8.0,hamming+,0.0,2.0,0.0,418.41
2,2,broadcast_domain,IPD,baseipd,2.0,inline-hamming+,0.0,2.0,0.01,198.67
2,2,broadcast_domain,IPD,baseipd,4.0,inline-hamming+,0.0,2.0,0.01,193.49
2,2,broadcast_domain,IPD,baseipd,8.0,inline-hamming+,0.0,2.0,0.01,190.93
2,2,broadcast_domain,IPD,iphash,2.0,none,0.0,2.0,0.01,208.14
2,2,broadcast_domain,IPD,iphash,4.0,none,0.0,2.0,0.01,208.14
2,2,broadcast_domain,IPD,iphash,8.0,none,0.0,2.0,0.01,208.14
2,2,broadcast_domain,IPD,iphash,2.0,hamming,0.0,2.0,0.0,2750.19
2,2,broadcast_domain,IPD,iphash,4.0,hamming,0.0,2.0,0.0,2750.19
2,2,broadcast_domain,IPD,iphash,8.0,hamming,0.0,2.0,0.0,2750.19
2,2,broadcast_domain,IPD,iphash,2.0,hamming+,0.0,2.0,0.0,515.3
2,2,broadcast_domain,IPD,iphash,4.0,hamming+,0.0,2.0,0.0,515.3
2,2,broadcast_domain,IPD,iphash,8.0,hamming+,0.0,2.0,0.0,515.3
2,2,broadcast_domain,IPD,iphash,2.0,inline-hamming+,0.0,2.0,0.01,200.14
2,2,broadcast_domain,IPD,iphash,4.0,inline-hamming+,0.0,2.0,0.01,200.14
2,2,broadcast_domain,IPD,iphash,8.0,inline-hamming+,0.0,2.0,0.01,200.14
2,2,broadcast_domain,IPD,clockhash,2.0,none,0.0,2.0,0.01,212.47
2,2,broadcast_domain,IPD,clockhash,4.0,none,0.0,2.0,0.01,223.33
2,2,broadcast_domain,IPD,clockhash,8.0,none,0.0,2.0,0.01,222.31
2,2,broadcast_domain,IPD,clockhash,2.0,hamming,0.0,2.0,0.0,2006.29
2,2,broadcast_domain,IPD,clockhash,4.0,hamming,0.0,2.0,0.0,2447.67
2,2,broadcast_domain,IPD,clockhash,8.0,hamming,0.0,2.0,,
2,2,broadcast_domain,IPD,clockhash,2.0,hamming+,0.0,2.0,0.0,493.48
2,2,broadcast_domain,IPD,clockhash,4.0,hamming+,0.0,2.0,0.0,487.58
2,2,broadcast_domain,IPD,clockhash,8.0,hamming+,0.0,2.0,,
2,2,broadcast_domain,IPD,clockhash,2.0,inline-hamming+,0.0,2.0,0.01,210.82
2,2,broadcast_domain,IPD,clockhash,4.0,inline-hamming+,0.0,2.0,0.01,211.19
2,2,broadcast_domain,IPD,clockhash,8.0,inline-hamming+,0.0,2.0,0.01,224.15
2,2,broadcast_domain,ISD,none,0.0,none,0.0,2.0,0.01,215.27
2,2,broadcast_domain,ISD,none,0.0,hamming,0.0,2.0,0.0,1748.34
2,2,broadcast_domain,ISD,none,0.0,hamming+,0.0,2.0,0.0,555.03
2,2,broadcast_domain,ISD,none,0.0,inline-hamming+,0.0,2.0,0.01,212.84
2,2,broadcast_domain,ICD,none,0.0,none,0.0,2.0,0.01,211.37
2,2,broadcast_domain,ICD,none,0.0,hamming,0.0,2.0,0.0,2110.06
2,2,broadcast_domain,ICD,none,0.0,hamming+,0.0,2.0,0.0,536.77
2,2,broadcast_domain,ICD,none,0.0,inline-hamming+,0.0,2.0,0.01,215.09
2,2,broadcast_domain,ISPN,none,0.0,none,0.0,2.0,0.02,123.74
2,2,broadcast_domain,ISPN,none,0.0,hamming,0.0,2.0,0.0,2689.75
2,2,broadcast_domain,ISPN,none,0.0,hamming+,0.0,2.0,0.0,463.57
2,2,broadcast_domain,ISPN,none,0.0,inline-hamming+,0.0,2.0,0.01,153.17
2,2,broadcast_domain,timestamp,none,0.0,none,0.0,2.0,0.01,227.9
2,2,broadcast_domain,timestamp,none,0.0,hamming,0.0,2.0,0.0,1723.71
2,2,broadcast_domain,timestamp,none,0.0,hamming+,0.0,2.0,0.0,515.3
2,2,broadcast_domain,timestamp,none,0.0,inline-hamming+,0.0,2.0,0.01,222.92
2,4,all,IPD,none,0.0,none,0.0,2.0,,
2,4,all,IPD,none,0.0,hamming,0.0,2.0,,
2,4,all,IPD,none,0.0,hamming+,0.0,2.0,,
2,4,all,IPD,none,0.0,inline-hamming+,0.0,2.0,,
2,4,all,IPD,baseipd,2.0,none,0.0,2.0,,
2,4,all,IPD,baseipd,4.0,none,0.0,2.0,,
2,4,all,IPD,baseipd,8.0,none,0.0,2.0,,
2,4,all,IPD,baseipd,2.0,hamming,0.0,2.0,,
2,4,all,IPD,baseipd,4.0,hamming,0.0,2.0,,
2,4,all,IPD,baseipd,8.0,hamming,0.0,2.0,,
2,4,all,IPD,baseipd,2.0,hamming+,0.0,2.0,,
2,4,all,IPD,baseipd,4.0,hamming+,0.0,2.0,,
2,4,all,IPD,baseipd,8.0,hamming+,0.0,2.0,,
2,4,all,IPD,baseipd,2.0,inline-hamming+,0.0,2.0,,
2,4,all,IPD,baseipd,4.0,inline-hamming+,0.0,2.0,,
2,4,all,IPD,baseipd,8.0,inline-hamming+,0.0,2.0,,
2,4,all,IPD,iphash,2.0,none,0.0,2.0,,
2,4,all,IPD,iphash,4.0,none,0.0,2.0,,
2,4,all,IPD,iphash,8.0,none,0.0,2.0,,
2,4,all,IPD,iphash,2.0,hamming,0.0,2.0,,
2,4,all,IPD,iphash,4.0,hamming,0.0,2.0,,
2,4,all,IPD,iphash,8.0,hamming,0.0,2.0,,
2,4,all,IPD,iphash,2.0,hamming+,0.0,2.0,,
2,4,all,IPD,iphash,4.0,hamming+,0.0,2.0,,
2,4,all,IPD,iphash,8.0,hamming+,0.0,2.0,,
2,4,all,IPD,iphash,2.0,inline-hamming+,0.0,2.0,,
2,4,all,IPD,iphash,4.0,inline-hamming+,0.0,2.0,,
2,4,all,IPD,iphash,8.0,inline-hamming+,0.0,2.0,,
2,4,all,IPD,clockhash,2.0,none,0.0,2.0,,
2,4,all,IPD,clockhash,4.0,none,0.0,2.0,,
2,4,all,IPD,clockhash,8.0,none,0.0,2.0,,
2,4,all,IPD,clockhash,2.0,hamming,0.0,2.0,,
2,4,all,IPD,clockhash,4.0,hamming,0.0,2.0,,
2,4,all,IPD,clockhash,8.0,hamming,0.0,2.0,,
2,4,all,IPD,clockhash,2.0,hamming+,0.0,2.0,,
2,4,all,IPD,clockhash,4.0,hamming+,0.0,2.0,,
2,4,all,IPD,clockhash,8.0,hamming+,0.0,2.0,,
2,4,all,IPD,clockhash,2.0,inline-hamming+,0.0,2.0,,
2,4,all,IPD,clockhash,4.0,inline-hamming+,0.0,2.0,,
2,4,all,IPD,clockhash,8.0,inline-hamming+,0.0,2.0,,
2,4,all,ISD,none,0.0,none,0.0,2.0,,
2,4,all,ISD,none,0.0,hamming,0.0,2.0,,
2,4,all,ISD,none,0.0,hamming+,0.0,2.0,,
2,4,all,ISD,none,0.0,inline-hamming+,0.0,2.0,,
2,4,all,ICD,none,0.0,none,0.0,2.0,,
2,4,all,ICD,none,0.0,hamming,0.0,2.0,,
2,4,all,ICD,none,0.0,hamming+,0.0,2.0,,
2,4,all,ICD,none,0.0,inline-hamming+,0.0,2.0,,
2,4,all,ISPN,none,0.0,none,0.0,2.0,,
2,4,all,ISPN,none,0.0,hamming,0.0,2.0,,
2,4,all,ISPN,none,0.0,hamming+,0.0,2.0,,
2,4,all,ISPN,none,0.0,inline-hamming+,0.0,2.0,,
2,4,all,timestamp,none,0.0,none,0.0,2.0,,
2,4,all,timestamp,none,0.0,hamming,0.0,2.0,,
2,4,all,timestamp,none,0.0,hamming+,0.0,2.0,,
2,4,all,timestamp,none,0.0,inline-hamming+,0.0,2.0,,
2,4,broadcast_domain,IPD,none,0.0,none,0.0,2.0,0.01,180.37
2,4,broadcast_domain,IPD,none,0.0,hamming,0.0,2.0,0.0,1217.75
2,4,broadcast_domain,IPD,none,0.0,hamming+,0.0,2.0,0.0,409.99
2,4,broadcast_domain,IPD,none,0.0,inline-hamming+,0.0,2.0,0.01,193.95
2,4,broadcast_domain,IPD,baseipd,2.0,none,0.0,2.0,0.01,191.97
2,4,broadcast_domain,IPD,baseipd,4.0,none,0.0,2.0,0.01,186.99
2,4,broadcast_domain,IPD,baseipd,8.0,none,0.0,2.0,0.01,195.03
2,4,broadcast_domain,IPD,baseipd,2.0,hamming,0.0,2.0,0.0,1448.33
2,4,broadcast_domain,IPD,baseipd,4.0,hamming,0.0,2.0,0.0,1414.84
2,4,broadcast_domain,IPD,baseipd,8.0,hamming,0.0,2.0,0.0,1723.71
2,4,broadcast_domain,IPD,baseipd,2.0,hamming+,0.0,2.0,0.01,382.45
2,4,broadcast_domain,IPD,baseipd,4.0,hamming+,0.0,2.0,0.0,410.68
2,4,broadcast_domain,IPD,baseipd,8.0,hamming+,0.0,2.0,0.0,434.75
2,4,broadcast_domain,IPD,baseipd,2.0,inline-hamming+,0.0,2.0,0.01,191.22
2,4,broadcast_domain,IPD,baseipd,4.0,inline-hamming+,0.0,2.0,0.01,182.66
2,4,broadcast_domain,IPD,baseipd,8.0,inline-hamming+,0.0,2.0,0.01,200.14
2,4,broadcast_domain,IPD,iphash,2.0,none,0.0,2.0,0.01,178.01
2,4,broadcast_domain,IPD,iphash,4.0,none,0.0,2.0,0.01,178.01
2,4,broadcast_domain,IPD,iphash,8.0,none,0.0,2.0,0.01,178.01
2,4,broadcast_domain,IPD,iphash,2.0,hamming,0.0,2.0,0.0,1255.22
2,4,broadcast_domain,IPD,iphash,4.0,hamming,0.0,2.0,0.0,1255.22
