parameters,FITNESS,bps,mps,caf,sbw,avgdistance_all,avgdistance_poi,watchdog_hitrate,count_packets_rec,count_poi_rec,count_cc_rec,count_cc_ignored_in_silence,count_cc_pointer_rec,count_data_ignored_in_silence,count_data_ignored_in_timeoput,count_data_ecc_matches,count_watchdog_ecc_matches,secret_bits_count,timestamp_start,timestamp_stop,duration_seconds,source_ip,comment
broadcast_domain:ISD:8b:1r:7m:none,2.3823,2.3823,0.2978,1.142857143,0.135360763,59.10132159,5.418502203,1,13416,1230,229,0,227,437,0,227,227,1816,1743900938,4/6/2025 3:08,762.2732408,127.0.0.1,"Version 3.3, LAN Night Hours"
broadcast_domain:ISD:8b:1r:7m:none,2.1925,2.1925,0.2741,1.142857143,0.113570982,70.44052863,5.45814978,1,15990,1239,229,0,227,459,0,227,227,1816,1743901708,4/6/2025 3:22,828.2818582,127.0.0.1,"Version 3.3, LAN Night Hours"
broadcast_domain:ISD:8b:1r:7m:none,2.2357,2.2357,0.2795,1.142857143,0.112599206,71.04845815,5.449339207,1,16128,1237,229,0,227,450,0,227,227,1816,1743902545,4/6/2025 3:35,812.2749681,127.0.0.1,"Version 3.3, LAN Night Hours"
broadcast_domain:ISD:8b:1r:7m:none,2.4099,2.4099,0.3012,1.142857143,0.112270243,71.25663717,5.243362832,1,16104,1185,229,1,226,420,0,226,226,1808,1743903365,4/6/2025 3:48,750.243855,127.0.0.1,"Version 3.3, LAN Night Hours"
broadcast_domain:ISD:8b:1r:7m:none,2.183837004,2.1935,0.2742,1.142857143,0.111281329,71.88986784,5.488986784,0.995594714,16319,1246,229,0,227,462,0,227,226,1808,1743904123,4/6/2025 4:02,824.240416,127.0.0.1,"Version 3.3, LAN Night Hours"
broadcast_domain:ISD:8b:1r:7m:none,2.3112,2.3112,0.2889,1.142857143,0.138912262,57.59030837,5.31277533,1,13073,1206,229,0,227,442,0,227,227,1816,1743904955,4/6/2025 4:15,785.7335169,127.0.0.1,"Version 3.3, LAN Night Hours"
broadcast_domain:ISD:8b:1r:7m:none,2.253185841,2.2632,0.2829,1.142857143,0.111234158,71.92035398,5.738938053,0.995575221,16254,1297,229,1,226,469,0,226,225,1800,1743905748,4/6/2025 4:29,795.3398881,127.0.0.1,"Version 3.3, LAN Night Hours"
broadcast_domain:ISD:8b:1r:7m:none,2.438211454,2.449,0.3061,1.142857143,0.119963007,66.68722467,5.193832599,0.995594714,15138,1179,229,0,227,414,0,227,226,1808,1743906550,4/6/2025 4:41,738.265079,127.0.0.1,"Version 3.3, LAN Night Hours"
broadcast_domain:ISD:8b:1r:7m:none,2.3068,2.3068,0.2884,1.142857143,0.110341475,72.50220264,5.286343612,1,16458,1200,229,0,227,436,0,227,227,1816,1743907296,4/6/2025 4:54,787.2226608,127.0.0.1,"Version 3.3, LAN Night Hours"
broadcast_domain:ISD:8b:1r:7m:none,3.060693833,3.0879,0.386,1.142857143,0.166896425,47.9339207,4.748898678,0.991189427,10881,1078,229,0,227,324,0,227,225,1800,1743908090,4/6/2025 5:04,582.924907,127.0.0.1,"Version 3.3, LAN Night Hours"
