parameters,FITNESS,bps,mps,caf,sbw,avgdistance_all,avgdistance_poi,watchdog_hitrate,count_packets_rec,count_poi_rec,count_cc_rec,count_cc_ignored_in_silence,count_cc_pointer_rec,count_data_ignored_in_silence,count_data_ignored_in_timeoput,count_data_ecc_matches,count_watchdog_ecc_matches,secret_bits_count,timestamp_start,timestamp_stop,duration_seconds,source_ip,comment
broadcast_domain:ISD:8b:1r:7m:none,2.3823,2.3823,0.2978,1.142857143,0.135360763,59.10132159,5.418502203,1,13416,1230,229,0,227,437,0,227,227,1816,1743900938,4/6/2025 3:08,762.2732408,127.0.0.1,"Version 3.3, LAN Night Hours"
broadcast_domain:ISD:8b:1r:7m:none,2.1925,2.1925,0.2741,1.142857143,0.113570982,70.44052863,5.45814978,1,15990,1239,229,0,227,459,0,227,227,1816,1743901708,4/6/2025 3:22,828.2818582,127.0.0.1,"Version 3.3, LAN Night Hours"
broadcast_domain:ISD:8b:1r:7m:none,2.2357,2.2357,0.2795,1.142857143,0.112599206,71.04845815,5.449339207,1,16128,1237,229,0,227,450,0,227,227,1816,1743902545,4/6/2025 3:35,812.2749681,127.0.0.1,"Version 3.3, LAN Night Hours"
broadcast_domain:ISD:8b:1r:7m:none,2.4099,2.4099,0.3012,1.142857143,0.112270243,71.25663717,5.243362832,1,16104,1185,229,1,226,420,0,226,226,1808,1743903365,4/6/2025 3:48,750.243855,127.0.0.1,"Version 3.3, LAN Night Hours"
broadcast_domain:ISD:8b:1r:7m:none,2.183837004,2.1935,0.2742,1.142857143,0.111281329,71.88986784,5.488986784,0.995594714,16319,1246,229,0,227,462,0,227,226,1808,1743904123,4/6/2025 4:02,824.240416,127.0.0.1,"Version 3.3, LAN Night Hours"
AVERAGE,,2.28278,,,0.117016505,68.74736268,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
broadcast_domain:ISD:8b:1r:7m:none,2.630456889,2.6422,0.3303,1.142857143,0.127986348,62.50666667,5.231111111,0.995555556,14064,1177,229,2,225,396,0,225,224,1792,1743922875,4/6/2025 9:12,678.211297,127.0.0.1,"Version 3.3, LAN Peak Hours"
broadcast_domain:ISD:8b:1r:7m:none,2.837743612,2.8503,0.3563,1.142857143,0.15418577,51.88546256,5.466960352,0.995594714,11778,1241,229,0,227,422,0,227,226,1808,1743923561,4/6/2025 9:23,634.3143599,127.0.0.1,"Version 3.3, LAN Peak Hours"
broadcast_domain:ISD:8b:1r:7m:none,2.3762,2.3762,0.297,1.142857143,0.113748826,70.33039648,5.550660793,1,15965,1260,229,0,227,450,0,227,227,1816,1743924204,4/6/2025 9:36,764.2467251,127.0.0.1,"Version 3.3, LAN Peak Hours"
broadcast_domain:ISD:8b:1r:7m:none,2.590537445,2.602,0.3253,1.142857143,0.106043796,75.44052863,4.977973568,0.995594714,17125,1130,229,0,227,397,0,227,226,1808,1743924976,4/6/2025 9:47,694.844945,127.0.0.1,"Version 3.3, LAN Peak Hours"
broadcast_domain:ISD:8b:1r:7m:none,2.6113,2.6113,0.3264,1.142857143,0.140601913,56.89823009,5.097345133,1,12859,1152,229,1,226,397,0,226,226,1808,1743925678,4/6/2025 9:59,692.3708119,127.0.0.1,"Version 3.3, LAN Peak Hours"
AVERAGE,,2.6164,,,0.12851333,63.41225688,,,,,,,,,,,,,,,,,
